epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,98.7744,1.0144,2.81561,2.76438,1.57374,0,0.00333,1,0.76328,0.34285,0.00333,1,0.90781,0.52768,1.02459,2.13094,3.45918,1.8836,0,0.0004,0.0004,0.0004
2,179.017,0.85435,1.58981,1.98862,1.37335,0,0.89071,0.72414,0.91904,0.59447,0.89071,0.72414,0.9272,0.60338,0.93146,1.87183,2.95205,2.00792,0,0.000811882,0.000811882,0.000811882
3,269.661,0.87116,1.50004,1.5579,1.36362,0,0.89491,0.7931,0.90619,0.54315,0.85312,0.80134,0.92292,0.55554,1.18768,1.90217,2.73345,2.60602,0,0.00121545,0.00121545,0.00121545
4,354.303,0.91621,1.59962,1.49771,1.37683,0,0.81705,0.61616,0.68021,0.34962,0.81705,0.61616,0.68021,0.4627,1.2246,1.30155,3.00313,2.40778,0,0.0016107,0.0016107,0.0016107
5,433.134,0.97811,1.61411,1.56753,1.42041,0,0.00513,0.72414,0.00574,0.00303,0.00506,0.68966,0.00601,0.00334,1.43828,1.70544,19.9,2.97157,0,0.0019208,0.0019208,0.0019208
6,511.931,1.06383,1.53643,1.51043,1.48166,0,0.27831,0.70491,0.26511,0.12757,0.31013,0.68966,0.31858,0.17343,1.55581,1.63625,4.41874,2.80462,0,0.001901,0.001901,0.001901
7,581.469,1.06437,1.47789,1.5118,1.56425,0,0.01388,0.65517,0.01161,0.00296,0,0,0,0,2.93724,18.677,68.3038,6.37492,0,0.0018812,0.0018812,0.0018812
8,651.903,1.01052,1.40633,1.37943,1.42484,0,0.04984,0.58621,0.04752,0.02523,0.05592,0.62069,0.05402,0.02514,1.74957,2.19078,17.215,3.21699,0,0.0018614,0.0018614,0.0018614
9,720.836,0.93824,1.37048,1.26892,1.38631,0,0.84281,0.86207,0.89206,0.46896,0.86515,0.88518,0.89926,0.48331,1.13679,1.52718,2.46491,2.14935,0,0.0018416,0.0018416,0.0018416
10,789.617,0.90002,1.34461,1.13536,1.39926,0,0.89913,0.92238,0.93836,0.51033,0.89913,0.92238,0.93836,0.51913,1.33169,1.5388,2.00892,2.4776,0,0.0018218,0.0018218,0.0018218
11,859.659,0.91142,1.44517,1.11901,1.38751,0,0.96635,0.99063,0.99167,0.54698,0.96635,0.99063,0.99167,0.70666,1.26928,1.07359,1.88353,1.97137,0,0.001802,0.001802,0.001802
12,931.029,0.96636,1.44662,1.12914,1.44283,0,0.74299,0.86207,0.8676,0.49455,0.74299,0.86207,0.87018,0.58257,1.17578,1.0498,2.06422,1.94728,0,0.0017822,0.0017822,0.0017822
13,1000.76,0.8457,1.26029,1.03133,1.28117,0,0.84079,0.91077,0.94466,0.56682,0.84079,0.91077,0.94466,0.60425,1.21359,1.24675,1.78394,2.00968,0,0.0017624,0.0017624,0.0017624
14,1069.67,0.84233,1.28341,0.98637,1.3079,0,0.87441,0.86207,0.90847,0.58627,0.91015,0.89655,0.95959,0.66067,1.1779,1.07725,1.51044,1.88758,0,0.0017426,0.0017426,0.0017426
15,1139.16,0.80596,1.20528,0.95373,1.26162,0,0.89709,0.93103,0.95533,0.65589,0.84792,0.96143,0.94145,0.58974,1.02841,1.24112,1.2927,1.77476,0,0.0017228,0.0017228,0.0017228
16,1209.36,0.7651,1.19958,0.91309,1.27366,0,0.9053,0.93103,0.95678,0.69155,0.9053,0.93103,0.95678,0.69081,0.95553,1.04423,1.15192,1.74128,0,0.001703,0.001703,0.001703
17,1278.49,0.76268,1.49089,0.89371,1.2266,0,0.87252,0.96552,0.90906,0.72306,0.90395,1,0.96186,0.61222,0.77005,1.17474,1.01633,1.48483,0,0.0016832,0.0016832,0.0016832
18,1346.77,0.77408,1.29799,0.85453,1.28406,0,0.88956,0.89655,0.95019,0.71467,0.88956,0.89655,0.95019,0.64737,0.8086,1.07974,1.10076,1.55376,0,0.0016634,0.0016634,0.0016634
19,1415.39,0.77708,1.27872,0.87376,1.22738,0,0.84363,0.93103,0.91586,0.67727,0.87426,0.95918,0.96563,0.62656,0.98652,1.15587,1.09951,1.87873,0,0.0016436,0.0016436,0.0016436
20,1485.17,0.76074,1.28569,0.78224,1.24351,0,0.94434,1,0.99167,0.69159,0.94434,1,0.99167,0.72414,1.04026,1.03635,1.05207,1.79266,0,0.0016238,0.0016238,0.0016238
21,1553.48,0.76471,1.35121,0.82063,1.28706,0,0.96631,0.98933,0.99067,0.76636,0.96631,0.98933,0.99067,0.51006,0.78504,1.83295,0.97098,1.49802,0,0.001604,0.001604,0.001604
22,1623.15,0.75526,1.22836,0.81304,1.25671,0,0.87495,0.96512,0.96438,0.67529,0.84748,1,0.97546,0.65566,0.94342,1.03991,1.0652,1.63153,0,0.0015842,0.0015842,0.0015842
23,1691.95,0.67095,1.16994,0.71716,1.20288,0,0.97634,1,0.995,0.85558,0.97634,1,0.995,0.76288,0.59493,0.93392,0.74021,1.29307,0,0.0015644,0.0015644,0.0015644
24,1760.95,0.67804,1.19595,0.72442,1.19225,0,0.92854,1,0.99113,0.86388,0.92854,1,0.99113,0.75654,0.54344,1.1367,0.69661,1.21663,0,0.0015446,0.0015446,0.0015446
